NPA,Violent_Crime_Rate_2015,Violent_Crimes_2015,Property_Crime_Rate_2015,Property_Crimes_2015,Disorder_Call_Rate_2015,Disorder_Calls_2015,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Fire_Call_Rate_2015,Fire_Calls_2015,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,311_Requests_2015,311_Calls_2015,Voter_Participation_2015,Voters_Participating_2015,Neighborhood_Organizations_2015,Population_Density_2015,Population _2015,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,Vacant_Land_2015,Vacant_Land_Area_2015,Household_Income_2015,Household_Income_moe_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Employment_Rate_moe_2015,Job_Density_2015,Jobs_2015,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Bachelors_Degree_2015,Bachelors_Degree_moe_2015,High_School_Diploma_2015,High_School_Diploma_moe_2015,Early_Care_Proximity_2015,Early_Care_Proximate_Units_2015,SchoolAge_Proximity_2015,SchoolAge_Proximate_Units_2015,Library_Card_Prevalence_2015,Library_Card_Holders_2015,Proficiency_Elementary_School_2015,Proficiency_Middle_School_2015,Proficiency_High_School_2015,Highschool_Graduation_Rate_2015,Student_Absenteeism_2015,Neighborhood_School_Attendance_2015,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Park_Proximity_2015,Park_Proximate_Units_2015,Public_Health_Insurance _2015,Impervious_Surface_2015,Impervious_Surface_Area_2015,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Commuters_Driving_Alone_2015,Commuters_Driving_Alone_moe_2015,Housing_Density_2015,Housing_Units_2015,Single_Family_Housing_2015,Single_Family_Units_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Rental_Houses_Units_2015,New_Residential_2015,New_Residential_Permit_Units_2015,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Foreclosures_2015,Foreclosed_Units_2015,Home_Sales_Price_2015,Housing_Violations_2015,Housing_Violations_Total_2015,Home_Ownership_2015,Home_Ownership_moe_2015,Bicycle_Friendliness_2015,Street_Connectivity_2015,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Ridership_2015,Transit_Ridership_Total_2015
29,1.6,2.0,4.9,6.0,40.4,50.0,27.5,31.0,20.2,25.0,13.1,74.0,33.9,419.0,28.0,236.0,2.0,3.0,1237.0,45.0,7.0,19.0,5.0,23.0,5.0,3.2,13.0,88125.0,35438.0,2.0,97.0,9.0,0.5,199.0,0.0,0.0,1066.0,1066.0,14.0,0.0,0.0,63.0,7.0,89.0,7.0,60.0,338.0,60.0,338.0,22.0,273.0,72.0,88.2,66.7,89.0,11.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.9,65.0,68.08,4.07,86.0,17.0,1.4,565.0,54.0,306.0,2835.0,32.0,10.0,30.0,0.0,0.0,4.16,17.0,0.4,2.0,224936.0,0.0,0.0,92.0,5.0,1.6,1.02,8.0,45.0,,
30,13.4,28.0,52.1,109.0,,,59.9,164.0,45.4,95.0,10.7,91.0,9.6,200.0,7.0,65.0,1.0,4.0,2091.0,26.0,7.0,37.0,10.0,3.0,2.0,3.6,17.0,13226.0,3494.0,51.0,81.0,12.0,,,3.15,15.0,12961.0,1607199.0,52.0,89.0,762.0,12.0,8.0,68.0,16.0,99.0,847.0,100.0,853.0,15.0,323.0,18.2,8.8,23.1,79.0,22.0,78.0,17.0,146.0,18.0,152.0,95.0,810.0,45.0,29.4,140.0,0.0,0.0,61.0,,1.8,854.0,15.0,129.0,866.0,52.0,,73.0,0.21,1.0,0.0,0.0,0.0,0.0,,1.52,13.0,5.0,4.0,1.7,1.28,100.0,854.0,66.0,1654.0
31,0.6,1.0,7.2,12.0,37.2,62.0,23.3,44.0,29.4,49.0,1.3,9.0,37.2,620.0,36.0,439.0,1.0,4.0,1666.0,45.0,4.0,23.0,5.0,14.0,4.0,1.7,6.0,115156.0,17355.0,1.0,92.0,3.0,0.4,160.0,0.78,3.0,3742.0,7484.0,33.0,31.0,209.0,78.0,9.0,100.0,9.0,54.0,366.0,57.0,388.0,21.0,349.0,91.3,91.8,88.9,100.0,1.0,94.0,24.0,160.0,4.0,27.0,21.0,141.0,2.0,19.0,73.0,100.0,1.84,90.0,3.0,1.8,676.0,84.0,570.0,3025.0,45.0,5.0,30.0,2.08,8.0,,,0.0,0.0,455557.0,0.0,0.0,92.0,6.0,1.7,1.21,62.0,420.0,17.0,34.0
32,3.0,1.0,77.2,26.0,302.7,102.0,29.7,12.0,,26.0,3.6,8.0,42.4,143.0,19.0,37.0,0.0,4.0,337.0,56.0,12.0,4.0,8.0,,,0.0,0.0,60156.0,37058.0,7.0,91.0,12.0,,1275.0,,8.0,42513.0,382621.0,24.0,100.0,220.0,54.0,17.0,98.0,,100.0,220.0,100.0,220.0,16.0,53.0,50.0,40.0,,,5.0,95.0,100.0,220.0,100.0,220.0,80.0,176.0,7.0,,38.0,,,93.0,17.0,2.5,220.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,110727.0,0.0,0.0,58.0,,1.2,1.08,100.0,220.0,14.0,111.0
33,1.5,2.0,45.3,61.0,75.7,102.0,18.6,13.0,13.4,18.0,2.2,14.0,3.9,52.0,9.0,29.0,1.0,5.0,1347.0,30.0,5.0,24.0,12.0,7.0,,15.9,41.0,43405.0,20670.0,11.0,96.0,5.0,3.0,776.0,1.93,5.0,,699081.0,21.0,94.0,590.0,44.0,16.0,90.0,9.0,99.0,624.0,6.0,38.0,20.0,270.0,64.3,45.5,,80.0,15.0,61.0,62.0,391.0,93.0,587.0,0.0,0.0,12.0,25.5,66.0,,,64.0,16.0,2.4,628.0,7.0,42.0,1908.0,33.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.3,1.19,100.0,628.0,28.0,198.0
34,4.6,10.0,26.2,57.0,116.7,254.0,72.6,184.0,20.7,45.0,14.9,121.0,40.9,891.0,13.0,121.0,2.0,2.0,2177.0,47.0,,21.0,10.0,11.0,4.0,29.4,273.0,43176.0,11432.0,31.0,83.0,4.0,0.2,157.0,0.11,1.0,36600.0,256199.0,35.0,0.0,4.0,4.0,4.0,63.0,9.0,65.0,525.0,65.0,525.0,13.0,288.0,36.5,21.6,35.0,93.0,19.0,84.0,32.0,257.0,35.0,288.0,0.0,0.0,32.0,6.2,58.0,0.0,0.0,88.0,13.0,0.9,813.0,83.0,677.0,1300.0,41.0,36.0,244.0,2.59,24.0,1.08,10.0,1.7,14.0,82783.0,3.08,25.0,74.0,10.0,1.4,1.13,28.0,230.0,,
35,5.3,10.0,48.4,92.0,135.3,257.0,61.2,93.0,26.8,51.0,5.9,47.0,4.2,80.0,4.0,47.0,4.0,1.0,1900.0,38.0,9.0,25.0,8.0,16.0,4.0,,,40785.0,9817.0,18.0,84.0,10.0,0.3,654.0,0.0,0.0,20990.0,860600.0,40.0,0.0,0.0,22.0,5.0,87.0,9.0,0.0,0.0,0.0,0.0,10.0,183.0,41.9,41.5,,75.0,12.0,78.0,0.0,0.0,0.0,0.0,2.0,16.0,21.0,6.2,141.0,86.79,2.01,87.0,14.0,0.4,801.0,96.0,765.0,1963.0,26.0,20.0,155.0,1.76,,1.62,37.0,2.0,16.0,240167.0,0.62,5.0,77.0,6.0,1.4,1.27,46.0,372.0,16.0,32.0
36,0.7,2.0,16.5,47.0,76.0,217.0,22.7,79.0,19.3,55.0,8.2,101.0,42.5,1213.0,23.0,407.0,3.0,5.0,2854.0,40.0,7.0,15.0,3.0,17.0,4.0,4.6,27.0,52969.0,6729.0,7.0,94.0,4.0,0.8,448.0,0.67,4.0,8827.0,273628.0,25.0,41.0,510.0,48.0,8.0,98.0,5.0,48.0,586.0,48.0,586.0,21.0,596.0,66.0,60.7,44.4,100.0,9.0,62.0,32.0,393.0,32.0,393.0,85.0,1045.0,9.0,16.7,99.0,76.04,3.19,93.0,4.0,2.1,1231.0,64.0,792.0,1926.0,35.0,14.0,109.0,0.67,4.0,2.86,17.0,1.1,12.0,169106.0,0.41,5.0,85.0,3.0,1.6,1.1,61.0,753.0,9.0,45.0
37,14.1,26.0,60.6,112.0,294.0,543.0,64.6,147.0,59.0,109.0,,,53.2,983.0,14.0,162.0,3.0,8.0,1847.0,31.0,4.0,28.0,5.0,7.0,2.0,9.7,24.0,25111.0,4123.0,40.0,80.0,6.0,0.7,169.0,3.29,8.0,8017.0,240497.0,68.0,6.0,49.0,10.0,4.0,77.0,6.0,100.0,779.0,100.0,779.0,23.0,418.0,25.0,13.2,36.4,88.0,18.0,63.0,13.0,99.0,4.0,34.0,100.0,779.0,36.0,23.0,56.0,99.49,1.42,61.0,7.0,3.2,779.0,81.0,630.0,1055.0,63.0,49.0,307.0,,,,33.0,1.4,7.0,125939.0,,,35.0,5.0,,1.42,100.0,779.0,38.0,606.0
38,2.1,5.0,41.3,99.0,100.5,241.0,22.1,149.0,42.6,102.0,10.3,87.0,26.8,643.0,22.0,320.0,4.0,1.0,2397.0,33.0,4.0,29.0,6.0,7.0,2.0,12.9,243.0,80764.0,7631.0,5.0,92.0,7.0,4.6,,1.38,,48227.0,,23.0,0.0,4.0,46.0,7.0,95.0,5.0,79.0,662.0,91.0,769.0,18.0,431.0,57.1,43.5,50.0,91.0,12.0,68.0,32.0,271.0,19.0,158.0,61.0,516.0,7.0,24.1,,0.0,0.0,81.0,13.0,0.5,841.0,90.0,759.0,2419.0,24.0,13.0,102.0,0.0,0.0,0.64,12.0,0.7,6.0,211665.0,0.59,5.0,95.0,5.0,1.3,1.17,0.0,4.0,3.0,34.0
