NPA,Violent_Crime_Rate_2015,Violent_Crimes_2015,Property_Crime_Rate_2015,Property_Crimes_2015,Disorder_Call_Rate_2015,Disorder_Calls_2015,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Fire_Call_Rate_2015,Fire_Calls_2015,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,311_Requests_2015,311_Calls_2015,Voter_Participation_2015,Voters_Participating_2015,Neighborhood_Organizations_2015,Population_Density_2015,Population _2015,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,Vacant_Land_2015,Vacant_Land_Area_2015,Household_Income_2015,Household_Income_moe_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Employment_Rate_moe_2015,Job_Density_2015,Jobs_2015,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Bachelors_Degree_2015,Bachelors_Degree_moe_2015,High_School_Diploma_2015,High_School_Diploma_moe_2015,Early_Care_Proximity_2015,Early_Care_Proximate_Units_2015,SchoolAge_Proximity_2015,SchoolAge_Proximate_Units_2015,Library_Card_Prevalence_2015,Library_Card_Holders_2015,Proficiency_Elementary_School_2015,Proficiency_Middle_School_2015,Proficiency_High_School_2015,Highschool_Graduation_Rate_2015,Student_Absenteeism_2015,Neighborhood_School_Attendance_2015,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Park_Proximity_2015,Park_Proximate_Units_2015,Public_Health_Insurance _2015,Impervious_Surface_2015,Impervious_Surface_Area_2015,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Commuters_Driving_Alone_2015,Commuters_Driving_Alone_moe_2015,Housing_Density_2015,Housing_Units_2015,Single_Family_Housing_2015,Single_Family_Units_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Rental_Houses_Units_2015,New_Residential_2015,New_Residential_Permit_Units_2015,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Foreclosures_2015,Foreclosed_Units_2015,Home_Sales_Price_2015,Housing_Violations_2015,Housing_Violations_Total_2015,Home_Ownership_2015,Home_Ownership_moe_2015,Bicycle_Friendliness_2015,Street_Connectivity_2015,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Ridership_2015,Transit_Ridership_Total_2015
108,7.0,10.0,29.9,43.0,107.9,155.0,35.6,96.0,9.8,14.0,9.1,50.0,20.4,293.0,12.0,94.0,,3.0,1436.0,30.0,7.0,20.0,6.0,6.0,5.0,17.9,102.0,56250.0,15587.0,12.0,89.0,14.0,0.8,439.0,1.05,6.0,11981.0,275553.0,25.0,0.0,0.0,25.0,12.0,84.0,17.0,94.0,514.0,95.0,520.0,21.0,300.0,53.2,51.7,72.2,94.0,10.0,90.0,0.0,0.0,0.0,0.0,34.0,188.0,17.0,11.9,68.0,0.0,0.0,87.0,15.0,1.0,549.0,78.0,427.0,1827.0,28.0,16.0,68.0,0.0,0.0,0.35,2.0,1.8,10.0,139483.0,,,74.0,6.0,1.3,1.05,60.0,328.0,146.0,146.0
109,1.6,4.0,68.7,169.0,148.4,365.0,24.7,55.0,13.4,33.0,3.7,34.0,10.3,253.0,20.0,272.0,3.0,2.0,2460.0,38.0,5.0,30.0,9.0,8.0,3.0,16.5,204.0,128864.0,,11.0,95.0,3.0,0.7,847.0,0.08,1.0,13403.0,375282.0,21.0,37.0,341.0,57.0,9.0,95.0,13.0,10.0,93.0,0.0,0.0,20.0,481.0,50.8,49.1,46.7,94.0,12.0,80.0,43.0,393.0,43.0,393.0,28.0,256.0,10.0,10.2,127.0,,,88.0,8.0,0.7,913.0,65.0,597.0,3264.0,20.0,10.0,60.0,1.45,18.0,1.93,24.0,1.1,8.0,396409.0,0.0,0.0,69.0,5.0,1.2,1.11,44.0,404.0,72.0,288.0
110,2.7,5.0,24.4,45.0,79.2,146.0,37.2,66.0,23.9,44.0,4.2,32.0,15.0,276.0,15.0,138.0,2.0,1.0,1844.0,39.0,11.0,19.0,7.0,13.0,4.0,20.1,280.0,53072.0,12592.0,6.0,90.0,1.0,0.3,360.0,0.07,1.0,11924.0,166929.0,25.0,33.0,250.0,24.0,9.0,92.0,10.0,0.0,0.0,0.0,0.0,18.0,338.0,48.1,52.2,50.0,86.0,11.0,81.0,33.0,250.0,33.0,250.0,34.0,255.0,9.0,5.5,77.0,,,85.0,11.0,0.5,757.0,68.0,517.0,2251.0,27.0,21.0,110.0,0.07,1.0,0.86,12.0,0.8,4.0,220185.0,0.26,2.0,67.0,10.0,1.1,1.08,33.0,250.0,4.0,7.0
111,1.9,6.0,10.0,32.0,46.7,149.0,23.0,64.0,11.6,37.0,11.7,134.0,24.5,781.0,12.0,170.0,0.0,4.0,3194.0,36.0,4.0,30.0,6.0,6.0,3.0,37.5,287.0,61368.0,10990.0,12.0,88.0,7.0,0.7,529.0,0.79,6.0,50647.0,911653.0,22.0,0.0,0.0,24.0,10.0,91.0,15.0,74.0,847.0,74.0,847.0,15.0,483.0,48.1,41.2,40.0,87.0,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.6,104.0,,,83.0,10.0,1.5,1150.0,57.0,658.0,2388.0,14.0,17.0,113.0,3.53,,0.92,7.0,2.1,16.0,221137.0,0.26,3.0,42.0,15.0,1.3,1.19,87.0,1004.0,28.0,114.0
112,2.0,3.0,16.4,24.0,62.7,92.0,47.6,82.0,16.4,24.0,1.8,10.0,7.3,107.0,6.0,47.0,0.0,1.0,1468.0,39.0,3.0,23.0,8.0,14.0,,31.4,,100625.0,,21.0,97.0,7.0,0.0,38.0,0.0,0.0,3053.0,12211.0,68.0,19.0,104.0,21.0,9.0,94.0,10.0,36.0,198.0,36.0,198.0,17.0,254.0,43.8,43.2,25.0,70.0,9.0,71.0,0.0,0.0,0.0,0.0,22.0,121.0,22.0,2.9,48.0,0.0,0.0,82.0,15.0,0.3,552.0,93.0,512.0,2071.0,30.0,28.0,144.0,2.21,,0.49,8.0,1.7,9.0,146148.0,0.36,2.0,62.0,13.0,1.2,1.14,0.0,0.0,,
113,3.5,14.0,29.7,119.0,100.1,401.0,39.4,186.0,20.5,82.0,12.4,176.0,36.3,1456.0,13.0,255.0,0.0,3.0,4007.0,31.0,3.0,31.0,5.0,3.0,2.0,17.6,235.0,59513.0,17546.0,24.0,90.0,7.0,0.6,846.0,0.15,2.0,14375.0,402493.0,34.0,23.0,329.0,31.0,8.0,96.0,10.0,65.0,928.0,66.0,944.0,21.0,855.0,34.1,34.3,44.0,93.0,10.0,66.0,0.0,0.0,0.0,0.0,28.0,395.0,27.0,8.9,119.0,0.0,0.0,92.0,7.0,1.1,1421.0,100.0,1421.0,1693.0,18.0,25.0,,3.22,,1.12,15.0,3.0,,132072.0,0.21,3.0,77.0,10.0,1.3,1.1,5.0,76.0,,
114,10.4,13.0,35.2,44.0,190.3,238.0,71.0,92.0,40.0,50.0,27.6,117.0,22.5,281.0,7.0,23.0,1.0,2.0,1251.0,35.0,10.0,25.0,8.0,8.0,5.0,22.0,144.0,18828.0,9114.0,45.0,79.0,12.0,3.3,2137.0,0.92,6.0,32044.0,1153595.0,30.0,26.0,111.0,7.0,6.0,,12.0,98.0,417.0,98.0,417.0,13.0,163.0,26.7,21.2,57.1,64.0,19.0,83.0,0.0,0.0,0.0,0.0,55.0,232.0,38.0,15.3,100.0,0.0,0.0,,12.0,0.7,424.0,54.0,227.0,910.0,56.0,,150.0,,,0.92,6.0,0.6,1.0,,3.07,13.0,10.0,6.0,1.4,1.13,100.0,424.0,8.0,210.0
115,0.2,1.0,3.7,18.0,23.9,116.0,10.0,78.0,20.4,99.0,1.9,34.0,17.4,843.0,18.0,475.0,2.0,7.0,,34.0,3.0,36.0,5.0,5.0,3.0,9.0,64.0,128466.0,27966.0,2.0,93.0,6.0,2.5,1778.0,0.42,3.0,10123.0,293565.0,9.0,45.0,813.0,66.0,9.0,98.0,8.0,51.0,914.0,51.0,920.0,20.0,,89.8,83.7,80.4,99.0,2.0,94.0,12.0,212.0,12.0,212.0,20.0,371.0,4.0,22.8,164.0,0.0,0.0,90.0,8.0,2.5,1810.0,76.0,1382.0,2982.0,11.0,6.0,80.0,0.14,1.0,,,0.4,6.0,360919.0,0.11,2.0,87.0,7.0,1.5,1.31,0.0,0.0,,
116,,,,,,,,,9.5,36.0,,,13.7,516.0,13.0,151.0,,1.0,3774.0,29.0,2.0,32.0,5.0,6.0,2.0,25.3,,44565.0,21170.0,26.0,88.0,5.0,2.8,,1.28,,30099.0,,32.0,52.0,641.0,18.0,6.0,72.0,9.0,73.0,901.0,73.0,902.0,11.0,427.0,27.4,20.0,20.0,83.0,14.0,81.0,65.0,798.0,73.0,907.0,14.0,179.0,29.0,16.3,,17.49,3.04,65.0,6.0,0.3,1236.0,49.0,601.0,1794.0,25.0,27.0,160.0,1.8,,2.1,,1.7,12.0,274936.0,,,29.0,7.0,1.3,1.29,98.0,1211.0,,
117,1.8,7.0,16.8,67.0,73.6,293.0,32.8,94.0,19.4,77.0,14.0,204.0,31.4,1251.0,10.0,193.0,2.0,4.0,3980.0,27.0,2.0,31.0,6.0,2.0,,6.3,63.0,47207.0,3156.0,23.0,89.0,4.0,0.9,840.0,0.1,1.0,23698.0,284370.0,24.0,0.0,0.0,25.0,6.0,89.0,12.0,100.0,1453.0,100.0,1453.0,19.0,757.0,37.6,32.1,32.8,90.0,10.0,76.0,22.0,318.0,22.0,318.0,1.0,21.0,30.0,8.6,85.0,0.0,0.0,74.0,3.0,1.5,1453.0,78.0,1135.0,1990.0,11.0,24.0,270.0,2.02,20.0,0.91,9.0,3.4,,118329.0,0.62,9.0,49.0,8.0,1.5,1.08,32.0,471.0,,
118,0.0,0.0,8.1,10.0,21.0,26.0,32.6,42.0,4.0,5.0,2.1,9.0,28.0,346.0,22.0,175.0,,4.0,1238.0,44.0,5.0,29.0,6.0,13.0,4.0,4.0,13.0,107321.0,8239.0,2.0,96.0,5.0,0.3,88.0,0.0,0.0,9227.0,18454.0,15.0,0.0,0.0,69.0,14.0,97.0,14.0,75.0,321.0,75.0,321.0,21.0,265.0,69.2,81.1,92.9,93.0,6.0,93.0,0.0,0.0,0.0,0.0,77.0,327.0,4.0,13.4,43.0,100.0,0.33,91.0,6.0,1.3,426.0,100.0,426.0,2662.0,30.0,10.0,42.0,3.44,11.0,4.69,15.0,0.9,4.0,369141.0,0.23,1.0,98.0,3.0,1.2,1.04,72.0,306.0,3.0,5.0
119,8.9,12.0,84.2,114.0,217.9,295.0,,118.0,31.0,42.0,20.3,95.0,39.4,533.0,18.0,107.0,3.0,1.0,1354.0,36.0,6.0,22.0,8.0,9.0,5.0,22.7,231.0,51346.0,5512.0,18.0,88.0,,0.6,575.0,0.29,3.0,9704.0,155257.0,36.0,0.0,0.0,23.0,8.0,77.0,8.0,34.0,157.0,52.0,241.0,10.0,131.0,14.8,54.8,43.8,90.0,13.0,78.0,27.0,127.0,25.0,117.0,92.0,428.0,22.0,9.6,98.0,0.0,0.0,79.0,15.0,0.5,467.0,100.0,467.0,1587.0,42.0,19.0,91.0,0.0,0.0,0.59,6.0,1.3,6.0,109133.0,1.5,7.0,84.0,6.0,1.3,1.26,80.0,373.0,48.0,240.0
120,,26.0,53.0,80.0,251.0,379.0,62.0,85.0,39.1,59.0,26.4,158.0,30.1,454.0,10.0,84.0,2.0,4.0,1510.0,24.0,6.0,,4.0,12.0,3.0,11.7,45.0,19667.0,8983.0,,79.0,11.0,0.7,262.0,0.78,3.0,9727.0,175090.0,38.0,0.0,0.0,10.0,7.0,68.0,11.0,100.0,598.0,100.0,598.0,,462.0,19.7,17.7,13.6,75.0,21.0,62.0,0.0,0.0,0.0,0.0,100.0,598.0,59.0,12.3,47.0,0.0,0.0,66.0,21.0,1.6,598.0,46.0,278.0,1137.0,44.0,53.0,148.0,1.57,6.0,2.09,8.0,1.6,4.0,78375.0,,,18.0,6.0,1.4,1.21,100.0,598.0,79.0,1259.0
121,6.2,14.0,32.5,74.0,143.3,326.0,71.9,153.0,44.8,102.0,,,36.4,829.0,13.0,124.0,2.0,5.0,2275.0,36.0,8.0,22.0,6.0,9.0,4.0,8.4,39.0,37180.0,13246.0,35.0,88.0,13.0,0.9,415.0,0.22,1.0,21089.0,485054.0,30.0,63.0,518.0,14.0,9.0,75.0,9.0,100.0,826.0,100.0,826.0,14.0,321.0,24.3,23.1,31.6,71.0,17.0,70.0,0.0,1.0,0.0,1.0,53.0,434.0,36.0,15.8,73.0,,,73.0,14.0,1.8,826.0,72.0,597.0,1226.0,50.0,40.0,236.0,0.0,0.0,1.51,7.0,2.7,21.0,74135.0,0.61,5.0,53.0,11.0,1.5,1.18,100.0,826.0,55.0,935.0
122,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1.6,62.0,,,,,,3.3,,1.26,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,27.45,1.04,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,1.1,1.12,,,,
123,9.1,23.0,42.3,107.0,168.4,426.0,49.2,112.0,37.6,95.0,7.7,84.0,35.3,892.0,33.0,,,2.0,2530.0,32.0,6.0,23.0,8.0,20.0,3.0,13.8,167.0,31551.0,7173.0,38.0,,10.0,0.7,803.0,0.25,3.0,22504.0,675108.0,25.0,1.0,8.0,14.0,6.0,87.0,7.0,99.0,1079.0,100.0,1088.0,26.0,664.0,33.3,19.5,11.1,79.0,15.0,79.0,1.0,14.0,1.0,14.0,92.0,998.0,34.0,9.8,119.0,58.06,2.0,94.0,8.0,0.9,1088.0,74.0,808.0,1472.0,40.0,26.0,213.0,0.0,0.0,0.91,11.0,1.0,8.0,63400.0,1.29,14.0,49.0,9.0,1.4,1.16,99.0,1074.0,92.0,
124,,,,,,,,201.0,,,30.5,271.0,48.7,1008.0,12.0,137.0,3.0,3.0,2070.0,36.0,,22.0,6.0,14.0,4.0,11.7,83.0,27664.0,,44.0,75.0,6.0,3.6,2575.0,1.84,13.0,19037.0,1580089.0,39.0,96.0,852.0,9.0,4.0,68.0,9.0,100.0,890.0,100.0,890.0,17.0,351.0,19.0,16.7,30.0,81.0,12.0,72.0,93.0,828.0,71.0,636.0,100.0,890.0,41.0,34.5,,0.0,0.0,74.0,16.0,1.3,890.0,63.0,562.0,1147.0,64.0,44.0,250.0,0.0,0.0,0.85,6.0,1.4,9.0,60667.0,2.7,24.0,35.0,10.0,1.8,1.32,100.0,890.0,112.0,
125,8.9,26.0,58.5,172.0,215.7,634.0,49.5,158.0,37.4,110.0,16.4,175.0,37.1,1091.0,10.0,178.0,2.0,3.0,2939.0,27.0,6.0,36.0,8.0,6.0,2.0,13.1,134.0,34821.0,4805.0,37.0,95.0,4.0,1.7,1717.0,1.18,12.0,,,33.0,16.0,169.0,20.0,9.0,85.0,12.0,79.0,845.0,79.0,845.0,22.0,651.0,34.5,24.6,47.1,85.0,12.0,71.0,0.0,0.0,0.0,0.0,41.0,440.0,39.0,18.8,192.0,,,88.0,8.0,1.1,1068.0,87.0,927.0,1455.0,25.0,27.0,250.0,0.1,1.0,0.78,8.0,2.2,21.0,101512.0,0.28,3.0,53.0,11.0,1.5,1.19,35.0,370.0,66.0,332.0
126,9.3,5.0,57.5,31.0,270.9,146.0,24.1,11.0,39.0,21.0,3.6,9.0,34.9,188.0,15.0,43.0,0.0,4.0,539.0,42.0,,29.0,,,,,114.0,12212.0,4066.0,43.0,92.0,10.0,0.2,23.0,2.85,4.0,4959.0,19836.0,43.0,0.0,0.0,8.0,,66.0,,100.0,251.0,100.0,251.0,20.0,107.0,33.3,6.3,,,12.0,39.0,0.0,0.0,0.0,0.0,100.0,251.0,42.0,12.1,17.0,20.42,0.27,84.0,,1.8,251.0,22.0,56.0,2139.0,11.0,11.0,6.0,,,,,0.0,0.0,218393.0,0.4,1.0,3.0,5.0,1.5,1.35,100.0,251.0,146.0,582.0
127,5.1,12.0,29.5,70.0,128.6,305.0,32.1,106.0,43.9,104.0,9.0,89.0,16.4,389.0,14.0,129.0,3.0,5.0,2371.0,30.0,3.0,28.0,7.0,8.0,3.0,26.4,119.0,31492.0,1479.0,31.0,92.0,1.0,1.1,476.0,0.89,4.0,9057.0,153962.0,33.0,78.0,771.0,16.0,7.0,80.0,12.0,100.0,985.0,100.0,985.0,20.0,476.0,40.5,30.2,72.7,82.0,13.0,70.0,66.0,650.0,27.0,267.0,0.0,4.0,35.0,29.0,130.0,100.0,0.83,59.0,9.0,2.2,988.0,34.0,331.0,1594.0,37.0,26.0,87.0,0.0,0.0,0.89,4.0,0.9,3.0,107800.0,0.61,6.0,22.0,5.0,1.3,1.08,99.0,974.0,,
128,8.3,24.0,30.5,88.0,152.4,440.0,80.6,204.0,25.6,74.0,20.8,217.0,30.5,879.0,8.0,78.0,2.0,,2887.0,31.0,4.0,31.0,6.0,8.0,3.0,5.2,14.0,29706.0,6082.0,42.0,93.0,7.0,0.2,61.0,0.0,0.0,4005.0,72084.0,47.0,25.0,256.0,5.0,3.0,,10.0,100.0,1043.0,100.0,1043.0,15.0,439.0,22.9,17.9,30.8,88.0,18.0,76.0,8.0,80.0,8.0,80.0,88.0,917.0,43.0,20.5,55.0,0.0,0.0,65.0,7.0,3.9,1043.0,51.0,536.0,1103.0,56.0,49.0,262.0,0.0,0.0,2.98,8.0,1.5,8.0,47632.0,3.07,,23.0,8.0,1.8,1.3,100.0,1043.0,68.0,610.0
129,0.0,0.0,4.0,9.0,39.5,88.0,15.7,42.0,12.1,27.0,6.6,57.0,36.2,807.0,28.0,410.0,1.0,5.0,2227.0,41.0,3.0,32.0,7.0,11.0,3.0,0.0,0.0,104875.0,29820.0,1.0,96.0,4.0,0.2,110.0,0.0,0.0,,,,12.0,100.0,70.0,10.0,96.0,11.0,31.0,273.0,31.0,273.0,18.0,392.0,83.3,68.0,,100.0,4.0,76.0,23.0,200.0,27.0,236.0,49.0,428.0,2.0,14.4,70.0,100.0,3.04,86.0,9.0,1.8,869.0,82.0,713.0,2587.0,30.0,5.0,36.0,0.0,0.0,4.33,21.0,0.1,1.0,342696.0,0.12,1.0,92.0,7.0,1.5,1.03,95.0,822.0,8.0,25.0
130,2.2,4.0,25.4,46.0,59.7,108.0,34.3,46.0,17.7,32.0,1.6,12.0,2.6,47.0,6.0,61.0,3.0,1.0,1808.0,52.0,2.0,11.0,4.0,21.0,5.0,31.0,,112500.0,,1.0,98.0,4.0,0.1,250.0,0.08,3.0,8757.0,52541.0,30.0,0.0,0.0,60.0,7.0,96.0,9.0,2.0,16.0,12.0,91.0,15.0,267.0,70.4,64.0,83.3,100.0,2.0,50.0,0.0,0.0,0.0,0.0,13.0,103.0,3.0,3.3,119.0,0.0,0.0,91.0,2.0,0.2,766.0,83.0,635.0,3302.0,27.0,18.0,115.0,0.17,6.0,0.61,22.0,0.5,4.0,379228.0,0.26,2.0,92.0,5.0,1.3,1.12,0.0,0.0,,
131,0.0,0.0,6.1,13.0,52.6,112.0,48.7,72.0,16.0,34.0,4.7,37.0,29.1,619.0,13.0,128.0,1.0,8.0,2130.0,36.0,3.0,24.0,6.0,6.0,4.0,13.3,36.0,49886.0,11271.0,12.0,84.0,4.0,0.2,64.0,0.74,2.0,,,,1.0,11.0,28.0,7.0,89.0,14.0,93.0,734.0,100.0,790.0,18.0,380.0,49.0,48.4,71.9,95.0,9.0,83.0,17.0,135.0,17.0,135.0,54.0,429.0,17.0,15.5,42.0,0.0,0.0,83.0,7.0,2.9,791.0,93.0,734.0,1631.0,22.0,14.0,102.0,0.0,0.0,2.59,7.0,1.6,13.0,137734.0,0.38,3.0,80.0,8.0,1.3,1.07,22.0,177.0,,
132,1.9,1.0,24.6,13.0,122.9,65.0,41.8,38.0,28.4,15.0,33.1,93.0,56.0,296.0,22.0,71.0,1.0,3.0,529.0,53.0,8.0,,6.0,10.0,,0.4,1.0,66287.0,20345.0,9.0,100.0,0.0,1.2,229.0,2.12,4.0,8967.0,125537.0,55.0,89.0,250.0,68.0,,100.0,15.0,18.0,50.0,18.0,50.0,16.0,83.0,33.3,,,,,40.0,89.0,249.0,0.0,0.0,100.0,281.0,5.0,17.5,33.0,5.53,0.14,56.0,5.0,1.5,281.0,99.0,279.0,1222.0,63.0,30.0,85.0,0.0,0.0,5.3,10.0,0.0,0.0,208396.0,0.36,1.0,49.0,,1.8,1.19,91.0,257.0,6.0,30.0
133,0.0,0.0,14.8,16.0,51.9,56.0,8.3,14.0,11.1,12.0,1.4,9.0,23.1,249.0,27.0,174.0,2.0,7.0,1080.0,33.0,4.0,19.0,9.0,3.0,3.0,2.6,4.0,64667.0,17647.0,1.0,94.0,5.0,0.8,134.0,2.52,4.0,,,,93.0,584.0,75.0,,92.0,16.0,97.0,605.0,97.0,605.0,19.0,206.0,88.5,53.3,,88.0,4.0,84.0,92.0,577.0,28.0,174.0,85.0,534.0,3.0,20.8,33.0,60.09,2.47,92.0,2.0,4.0,626.0,39.0,244.0,2426.0,51.0,12.0,29.0,1.26,2.0,7.57,12.0,0.0,0.0,,0.32,2.0,50.0,10.0,1.6,1.14,100.0,626.0,33.0,33.0
134,4.8,6.0,25.6,32.0,119.8,150.0,33.2,60.0,15.2,19.0,8.5,38.0,19.3,242.0,14.0,64.0,0.0,,1252.0,34.0,10.0,32.0,,4.0,4.0,11.7,14.0,35754.0,8309.0,20.0,89.0,15.0,0.3,34.0,0.0,0.0,6537.0,26146.0,26.0,0.0,0.0,34.0,13.0,93.0,12.0,100.0,449.0,100.0,449.0,18.0,226.0,35.6,26.7,25.0,82.0,15.0,73.0,37.0,168.0,100.0,449.0,92.0,411.0,24.0,19.0,22.0,80.04,1.62,97.0,8.0,3.9,449.0,41.0,185.0,1593.0,34.0,25.0,46.0,0.0,0.0,3.46,4.0,1.6,3.0,,0.45,2.0,44.0,16.0,1.3,1.18,100.0,449.0,11.0,22.0
135,9.4,12.0,51.4,66.0,219.6,282.0,13.4,33.0,56.1,72.0,2.2,12.0,7.9,102.0,8.0,39.0,0.0,9.0,1284.0,29.0,7.0,23.0,9.0,8.0,3.0,4.8,7.0,22468.0,6303.0,36.0,90.0,9.0,,1093.0,1.42,2.0,30255.0,514334.0,36.0,100.0,555.0,18.0,12.0,83.0,11.0,92.0,511.0,92.0,511.0,21.0,267.0,21.4,25.0,83.3,,10.0,66.0,0.0,0.0,100.0,555.0,0.0,0.0,44.0,40.4,57.0,100.0,0.71,71.0,16.0,3.9,555.0,0.0,0.0,,,,,0.0,0.0,0.71,1.0,0.0,0.0,,0.54,3.0,12.0,8.0,1.1,1.0,100.0,555.0,81.0,406.0
136,1.0,2.0,12.4,26.0,46.3,97.0,36.6,48.0,14.8,31.0,5.0,40.0,23.2,486.0,14.0,165.0,1.0,3.0,2094.0,35.0,6.0,30.0,7.0,5.0,4.0,14.1,97.0,77344.0,12769.0,6.0,91.0,2.0,0.1,64.0,0.15,1.0,3968.0,23806.0,37.0,1.0,7.0,41.0,9.0,97.0,16.0,11.0,87.0,10.0,77.0,21.0,448.0,63.3,36.0,57.1,88.0,11.0,68.0,3.0,26.0,3.0,26.0,38.0,303.0,7.0,7.4,51.0,0.0,0.0,96.0,6.0,1.2,806.0,100.0,806.0,2139.0,14.0,18.0,142.0,2.03,14.0,1.02,7.0,1.4,11.0,172357.0,0.12,1.0,92.0,10.0,1.3,1.17,34.0,278.0,40.0,81.0
137,5.8,10.0,49.5,85.0,117.5,202.0,62.7,144.0,25.0,43.0,14.4,79.0,40.9,703.0,10.0,77.0,1.0,2.0,1719.0,28.0,11.0,,5.0,3.0,3.0,19.8,144.0,48309.0,,40.0,93.0,12.0,1.8,1321.0,0.55,4.0,11805.0,720110.0,39.0,3.0,15.0,13.0,6.0,69.0,9.0,79.0,431.0,79.0,431.0,26.0,444.0,37.1,38.9,59.3,95.0,9.0,75.0,0.0,0.0,1.0,7.0,1.0,4.0,45.0,11.8,86.0,0.0,0.0,93.0,7.0,0.8,548.0,100.0,548.0,1582.0,20.0,34.0,187.0,0.82,6.0,0.0,0.0,3.5,19.0,107420.0,0.73,4.0,38.0,15.0,1.3,1.11,6.0,34.0,70.0,139.0
138,,,,154.0,,,,129.0,,57.0,,118.0,50.6,387.0,15.0,47.0,1.0,2.0,765.0,28.0,11.0,34.0,5.0,4.0,3.0,7.0,36.0,47065.0,12818.0,42.0,,,,,0.59,3.0,17673.0,1219409.0,36.0,0.0,0.0,5.0,6.0,69.0,10.0,99.0,249.0,99.0,249.0,21.0,159.0,36.1,18.2,30.0,85.0,20.0,63.0,0.0,0.0,0.0,0.0,87.0,218.0,36.0,23.6,120.0,0.0,0.0,74.0,,0.5,251.0,100.0,251.0,1139.0,54.0,42.0,106.0,0.0,0.0,0.59,3.0,0.0,0.0,52167.0,,14.0,48.0,,1.3,1.18,100.0,251.0,67.0,534.0
139,9.6,16.0,57.6,96.0,193.9,323.0,50.2,85.0,46.2,77.0,15.6,103.0,37.8,629.0,14.0,120.0,1.0,3.0,1666.0,44.0,5.0,16.0,7.0,17.0,,19.6,125.0,36298.0,11419.0,30.0,83.0,10.0,0.6,364.0,0.47,3.0,7348.0,205752.0,35.0,15.0,101.0,14.0,12.0,81.0,8.0,100.0,660.0,100.0,660.0,21.0,350.0,33.3,29.4,27.3,79.0,14.0,72.0,14.0,90.0,19.0,125.0,56.0,367.0,32.0,8.5,54.0,0.0,0.0,76.0,15.0,1.0,660.0,76.0,502.0,1293.0,25.0,33.0,165.0,0.0,0.0,0.0,0.0,1.8,9.0,60167.0,0.76,5.0,43.0,12.0,1.3,1.16,100.0,660.0,25.0,407.0
140,8.8,26.0,53.8,159.0,228.0,674.0,58.8,198.0,40.9,121.0,16.6,178.0,37.4,1104.0,20.0,274.0,1.0,3.0,2956.0,37.0,2.0,24.0,5.0,13.0,3.0,13.5,141.0,45913.0,7528.0,27.0,93.0,0.0,0.6,660.0,0.67,7.0,20054.0,521396.0,32.0,3.0,29.0,13.0,4.0,86.0,8.0,91.0,979.0,91.0,979.0,13.0,392.0,22.0,21.5,45.5,82.0,12.0,77.0,13.0,144.0,28.0,305.0,35.0,377.0,29.0,11.0,115.0,0.0,0.0,82.0,3.0,1.0,1075.0,92.0,990.0,1495.0,36.0,23.0,232.0,0.0,0.0,0.67,7.0,1.2,12.0,108109.0,1.3,14.0,67.0,8.0,1.4,1.19,89.0,953.0,29.0,321.0
141,,27.0,,133.0,,,,91.0,,97.0,21.5,73.0,41.5,399.0,12.0,40.0,0.0,1.0,961.0,35.0,4.0,26.0,8.0,11.0,,12.5,85.0,19737.0,9341.0,51.0,89.0,10.0,3.7,2549.0,1.03,7.0,25607.0,,45.0,1.0,4.0,11.0,9.0,,10.0,99.0,335.0,99.0,335.0,18.0,173.0,21.2,12.5,7.7,71.0,23.0,68.0,0.0,0.0,98.0,334.0,18.0,61.0,43.0,28.0,191.0,10.93,0.32,84.0,10.0,0.5,340.0,81.0,275.0,1127.0,54.0,51.0,139.0,0.15,1.0,0.15,1.0,1.2,3.0,44500.0,1.76,6.0,20.0,12.0,1.4,1.31,100.0,340.0,33.0,927.0
